Airportcode,Product,PostedOTDPrice,Discount,CustomerOTDPrice
ABQ,JETA,7.83,3.73,3.93
ADS,JETA,6.30,2.39,3.91
AGC,JETA,6.74,2.43,4.31
ANC,JETA,7.85,3.48,4.37
ANE,JETA,7.75,0.00,7.75
APC,JETA,9.72,2.57,6.95
ASE,JETA,9.15,0.00,9.15
AUS,JETA,10.23,5.26,4.97
BAF,JETA,7.55,0.00,7.55
BCT,JETA,8.59,4.36,4.23
BDL,JETA,7.95,2.45,5.50
BDR,JETA,7.47,2.36,5.11
BED,JETA,9.91,5.23,4.68
BFL,JETA,7.43,2.56,4.65
BHM,JETA,8.00,3.62,4.38
BNA,JETA,7.65,1.98,5.59
BUR,JETA,7.34,2.16,4.96
CHS,JETA,8.82,2.55,6.04
CLE,JETA,7.14,1.38,5.65
CPR,JETA,8.14,2.13,6.01
CRP,JETA,7.37,3.06,4.31
CRQ,JETA,9.44,4.52,4.57
DAL,JETA,6.20,2.54,3.66
DTS,JETA,7.81,0.00,7.81
ELM,JETA,6.45,1.32,5.08
ELP,JETA,7.36,3.41,3.95
EUG,JETA,7.44,0.00,7.44
FAI,JETA,8.08,3.10,4.98
FAT,JETA,7.33,1.23,6.00
FMN,JETA,7.33,0.00,7.33
FRG,JETA,7.35,3.11,4.10
FXE,JETA,5.91,1.98,3.93
GPI,JETA,6.95,0.00,6.95
HDN,JETA,8.37,0.00,8.37
HNL,JETA,8.07,3.74,4.16
HOU,JETA,7.11,3.38,3.73
HPN,JETA,8.35,3.92,4.26
IAD,JETA,8.57,3.60,4.97
IAH,JETA,8.00,3.73,4.27
ILG,JETA,6.78,2.48,4.30
ITO,JETA,7.85,3.15,4.55
JAN,JETA,7.16,0.00,7.16
JNU,JETA,9.77,0.00,9.77
JZI,JETA,8.85,0.00,8.85
KOA,JETA,7.71,3.10,4.46
KTN,JETA,9.59,0.00,9.59
LAS,JETA,8.63,3.10,5.53
LAX,JETA,10.74,5.47,4.75
LGB,JETA,7.85,2.76,4.81
LIH,JETA,8.60,3.88,4.53
LIT,JETA,7.48,2.70,4.78
LNK,JETA,7.05,2.49,4.56
LNY,JETA,8.83,3.91,4.73
MCO,JETA,7.47,2.98,4.49
MDW,JETA,8.63,2.75,5.65
MKC,JETA,7.92,3.03,4.71
MMU,JETA,7.40,2.24,5.16
MSY,JETA,7.63,2.49,5.01
MTJ,JETA,8.93,0.00,8.93
OGG,JETA,8.56,3.84,4.53
OKC,JETA,6.79,2.74,4.05
OMA,JETA,7.43,3.66,3.77
OPF,JETA,7.28,3.26,4.02
ORH,JETA,8.05,0.00,8.05
ORL,JETA,7.33,2.59,4.74
OXC,JETA,7.58,2.67,4.91
PBI,JETA,9.20,5.14,4.06
PDK,JETA,6.86,2.15,4.69
PDX,JETA,7.79,0.00,7.79
PHF,JETA,7.14,1.73,5.41
PHL,JETA,8.08,0.00,8.08
PIT,JETA,7.41,0.00,7.41
PLS,JETA,5.79,1.21,4.58
PNE,JETA,7.77,1.64,6.13
PSP,JETA,8.48,2.52,5.72
PVD,JETA,9.17,0.00,9.17
PWA,JETA,6.09,2.29,3.80
PWK,JETA,8.25,2.55,5.49
RDU,JETA,7.54,2.79,4.56
RIL,JETA,8.93,0.00,8.94
RNO,JETA,8.36,2.83,5.53
SAF,JETA,6.28,0.00,6.28
SBA,JETA,8.97,2.94,5.77
SBN,JETA,6.86,1.96,4.90
SCK,JETA,7.92,0.00,7.92
SDF,JETA,7.73,0.00,7.73
SDL,JETA,8.38,3.85,4.53
SGJ,JETA,7.85,0.00,7.85
SIT,JETA,10.04,0.00,10.04
SJC,JETA,10.40,4.04,5.98
SKF,JETA,7.07,0.00,7.07
SLC,JETA,8.41,2.79,5.62
SMO,JETA,9.33,0.00,9.33
SRQ,JETA,7.61,3.21,4.40
SUA,JETA,7.57,3.11,4.46
SUN,JETA,9.70,0.00,9.70
SWF,JETA,7.87,3.09,4.64
TEB,JETA,9.06,4.65,4.41
TRM,JETA,8.43,3.02,5.18
TUL,JETA,6.76,2.95,3.81
TUS,JETA,7.35,2.13,5.22
UAO,JETA,7.60,0.00,7.60
UES,JETA,6.65,2.13,4.52
