FBO,Volume Tier,Product,Price,Tail Numbers
"KHOU","1+  ","Jet A ",$6.3000,"N125TH"
,"1+  ","SAF ",$8.1400,"N125TH"
"KHOU","1+  ","Jet A ",$3.8800,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
,"1+  ","SAF ",$5.7200,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
"KVNY","1 - 500","Jet A ",$6.24,"All Tails"
,"501 - 750","Jet A ",$6.24,"All Tails"
,"751 - 1,001","Jet A ",$6.24,"All Tails"
,"1,001+  ","Jet A ",$6.24,"All Tails"
,"1 - 500","SAF ",$7.05,"All Tails"
,"501 - 750","SAF ",$7.05,"All Tails"
,"751 - 1,001","SAF ",$7.05,"All Tails"
,"1,001+  ","SAF ",$7.05,"All Tails"
"KPBI","1+  ","Jet A ",$4.2500,"All Tails"
,"1+  ","SAF ",$6.0900,"All Tails"
"KTEB","1+  ","Jet A ",$4.6900,"All Tails"
,"1+  ","SAF ",$6.5300,"All Tails"
"KBED","1+  ","Jet A ",$4.9200,"All Tails"
,"1+  ","SAF ",$7.1000,"All Tails"
"TJSJ","1+  ","Jet A ",$4.9900,"All Tails"
"KDAL","1+  ","Jet A ",$5.6400,"N125TH"
,"1+  ","SAF ",$7.4200,"N125TH"
"KDAL","1+  ","Jet A ",$3.8900,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
,"1+  ","SAF ",$5.6700,"N102VR,N106PC,N125DZ,N201HR,N301HR,N416F,N416F,N513JB,N51GB,N700LH,N703TX,N733FL,N818CF,N860TX,N883TR,N910E,N939TX,N954JS,N955GH,N971JS,N988TX,N992MG,N998CX"
"KCPS","1+  ","Jet A ",$6.74,"All Tails"
"KSDL","1+  ","Jet A ",$4.64,"All Tails"
,"1+  ","SAF ",$6.94,"All Tails"
"KBZN","1+  ","Jet A ",$4.67,"All Tails"
,"1+  ","SAF ",$6.97,"All Tails"
"KMKE","1 - 1,001","Jet A ",$4.54,"All Tails"
,"1,001+  ","Jet A ",$4.49,"All Tails"

